Código;Município;Tipo;Produto;Ano;Valor/Quantidade
2700102;Água Branca;Quantidade produzida;Carpa;2013;0
2700201;Anadia;Quantidade produzida;Carpa;2013;0
2700300;Arapiraca;Quantidade produzida;Carpa;2013;0
2700409;Atalaia;Quantidade produzida;Carpa;2013;0
2700508;Barra de Santo Antônio;Quantidade produzida;Carpa;2013;0
2700607;Barra de São Miguel;Quantidade produzida;Carpa;2013;0
2700706;Batalha;Quantidade produzida;Carpa;2013;0
2700805;Belém;Quantidade produzida;Carpa;2013;0
2700904;Belo Monte;Quantidade produzida;Carpa;2013;0
2701001;Boca da Mata;Quantidade produzida;Carpa;2013;0
2701100;Branquinha;Quantidade produzida;Carpa;2013;0
2701209;Cacimbinhas;Quantidade produzida;Carpa;2013;0
2701308;Cajueiro;Quantidade produzida;Carpa;2013;0
2701357;Campestre;Quantidade produzida;Carpa;2013;0
2701407;Campo Alegre;Quantidade produzida;Carpa;2013;0
2701506;Campo Grande;Quantidade produzida;Carpa;2013;0
2701605;Canapi;Quantidade produzida;Carpa;2013;0
2701704;Capela;Quantidade produzida;Carpa;2013;0
2701803;Carneiros;Quantidade produzida;Carpa;2013;0
2701902;Chã Preta;Quantidade produzida;Carpa;2013;0
2702009;Coité do Nóia;Quantidade produzida;Carpa;2013;0
2702108;Colônia Leopoldina;Quantidade produzida;Carpa;2013;0
2702207;Coqueiro Seco;Quantidade produzida;Carpa;2013;0
2702306;Coruripe;Quantidade produzida;Carpa;2013;0
2702355;Craíbas;Quantidade produzida;Carpa;2013;0
2702405;Delmiro Gouveia;Quantidade produzida;Carpa;2013;0
2702504;Dois Riachos;Quantidade produzida;Carpa;2013;0
2702553;Estrela de Alagoas;Quantidade produzida;Carpa;2013;0
2702603;Feira Grande;Quantidade produzida;Carpa;2013;0
2702702;Feliz Deserto;Quantidade produzida;Carpa;2013;0
2702801;Flexeiras;Quantidade produzida;Carpa;2013;0
2702900;Girau do Ponciano;Quantidade produzida;Carpa;2013;0
2703007;Ibateguara;Quantidade produzida;Carpa;2013;0
2703106;Igaci;Quantidade produzida;Carpa;2013;0
2703205;Igreja Nova;Quantidade produzida;Carpa;2013;0
2703304;Inhapi;Quantidade produzida;Carpa;2013;0
2703403;Jacaré dos Homens;Quantidade produzida;Carpa;2013;0
2703502;Jacuípe;Quantidade produzida;Carpa;2013;0
2703601;Japaratinga;Quantidade produzida;Carpa;2013;0
2703700;Jaramataia;Quantidade produzida;Carpa;2013;0
2703759;Jequiá da Praia;Quantidade produzida;Carpa;2013;0
2703809;Joaquim Gomes;Quantidade produzida;Carpa;2013;0
2703908;Jundiá;Quantidade produzida;Carpa;2013;0
2704005;Junqueiro;Quantidade produzida;Carpa;2013;0
2704104;Lagoa da Canoa;Quantidade produzida;Carpa;2013;0
2704203;Limoeiro de Anadia;Quantidade produzida;Carpa;2013;0
2704302;Maceió;Quantidade produzida;Carpa;2013;0
2704401;Major Isidoro;Quantidade produzida;Carpa;2013;0
2704500;Maragogi;Quantidade produzida;Carpa;2013;0
2704609;Maravilha;Quantidade produzida;Carpa;2013;0
2704708;Marechal Deodoro;Quantidade produzida;Carpa;2013;0
2704807;Maribondo;Quantidade produzida;Carpa;2013;0
2704906;Mar Vermelho;Quantidade produzida;Carpa;2013;0
2705002;Mata Grande;Quantidade produzida;Carpa;2013;0
2705101;Matriz de Camaragibe;Quantidade produzida;Carpa;2013;0
2705200;Messias;Quantidade produzida;Carpa;2013;0
2705309;Minador do Negrão;Quantidade produzida;Carpa;2013;0
2705408;Monteirópolis;Quantidade produzida;Carpa;2013;0
2705507;Murici;Quantidade produzida;Carpa;2013;0
2705606;Novo Lino;Quantidade produzida;Carpa;2013;0
2705705;Olho d'Água das Flores;Quantidade produzida;Carpa;2013;0
